x,y,long,short,radian,bool
23.5,806.0,0.0,0.001,0.0,0.0
997.296,806.887,5.44,5.755,59.38,0.0
985.825,807.174,5.018,5.980,45.0,0.0
974.825,807.174,5.018,5.980,45.0,0.0
136.5,803.0,2.1213,3.0,90.0,0.0
673.716,806.592,5.0744,294.124,88.57,0.0
115.5,805.266,0.0,1.0,180.0,0.0
957.796,802.374,4.7446,5.814,63.673,0.0
946.766,802.766,5.143,5.728,135.0,0.0
935.262,803.0,5.274,5.700,90.0,0.0
17.0,801.0,0.0,0.000,0.0,0.0
9.0,801.0,0.0,0.00,0.0,0.0
991.952,801.415,4.894,5.945,79.53,0.0
980.634,801.641,4.944,5.840,78.72,0.0
969.139,801.9375,5.076,5.704,56.50,0.0
138.75,810.54,13.021,22.70,167.941,0.0
126.35,801.770019,3.8354,5.19,49.999,0.0
70.0,800.5,2.1213,3.0,0.0,0.0
136.339,791.660,2.516,3.521,135.0,0.0
126.63,793.458,3.813,4.369,132.012,0.0
138.5,790.5,3.1622,3.1622,0.0,0.0
122.10,791.146,1.0220,6.410,28.062,0.0
116.5,790.27,0.0,1.0,180.0,0.0
963.736,807.706,36.60,126.49,88.16,0.0
138.0,786.0,2.1821,4.082,0.0,0.0
136.0,784.5,2.1213,3.0,0.0,0.0
133.598,782.804,3.013,4.140,158.95,0.0
867.5,780.0,2.1213,3.0,90.0,0.0
135.5,779.0,2.1213,3.0,90.0,0.0
116.5,781.5,0.0,1.0,0.0,0.0
138.0,778.5,2.1213,3.0,0.0,0.0
919.5,776.0,2.1213,3.0,90.0,0.0
136.533,784.757,11.72,19.761,1.7248,0.0
125.0,777.127,3.207,4.344,90.0,0.0
1099.5,772.0,2.1213,3.0,90.0,0.0
438.249,774.520,3.7133,9.506,65.154,0.0
1048.5,771.5,3.1622,3.1622,0.0,0.0
1040.0,768.0,2.1821,4.082,90.0,0.0
927.0,768.0,2.1821,4.082,90.0,0.0
920.5,768.0,2.1213,3.0,90.0,0.0
1030.5,765.0,2.1213,3.0,90.0,0.0
936.5,765.0,2.1213,3.0,90.0,0.0
945.5,764.0,2.1213,3.0,90.0,0.0
429.59,766.209,4.008,8.848,71.30,0.0
148.38,767.997,7.3463,10.586,80.258,0.0
855.0,763.5,2.1213,3.0,0.0,0.0
1013.711,762.428,3.185,5.101,99.210449,0.0
1016.5,761.0,2.1213,3.0,90.0,0.0
995.5,761.0,2.2139,10.685,90.0,0.0
946.5,761.0,2.1213,3.0,90.0,0.0
1144.0,760.5,2.1213,3.0,0.0,0.0
988.133,761.087,3.2070,7.710,70.411,0.0
984.5,760.0,2.1213,3.0,90.0,0.0
979.5,760.0,2.1213,3.0,90.0,0.0
937.0,760.0,2.1821,4.082,90.0,0.0
167.285,760.5,0.0,1.0,0.0,0.0
111.0,761.5,0.0,0.0008,180.0,0.0
952.0,759.5,2.1213,3.0,0.0,0.0
94.5,759.0,2.1213,3.0,90.0,0.0
423.32,760.319,3.854,9.559,69.369,0.0
129.0,759.5,0.0,0.000,180.0,0.0
871.0,757.5,2.1213,3.0,0.0,0.0
75.97,757.726,2.7812,25.423,92.514,0.0
975.0,755.5,2.1213,3.0,0.0,0.0
866.124,756.009,3.1261,4.506,51.13,0.0
426.5,755.0,0.0,0.001,0.0,0.0
215.0,755.5,2.1213,3.0,0.0,0.0
1145.0,755.0,2.1821,4.082,0.0,0.0
953.804,755.195,2.4433,5.4782,135.0,0.0
404.727,754.5,0.0,1.0,0.0,0.0
957.0,753.5,2.1213,3.0,0.0,0.0
869.5,753.0,2.1213,3.0,90.0,0.0
414.618,755.718,4.7574,10.72,67.901,0.0
